"","player","year","qbr_pct","mean_epa","grades_offense","dropbacks","qbr_pct_tot","mean_epa_tot","grade_avg","plays_tot"
"97","Jordan Love",2023,0.861056584253816,0.172131372578586,83.6,689,0.948220437418296,0.147573589082293,83.6,838
"98","Kirk Cousins",2021,0.860727064031314,0.123212426546193,88.2,611,0.835772233738767,0.0918870515277808,75.5818181818182,6184
"99","Kirk Cousins",2020,0.859847061547935,0.172765873265386,83.4,572,0.835772233738767,0.0918870515277808,75.5818181818182,6184
"100","Philip Rivers",2017,0.859790142690995,0.204337720936582,80.4,596,0.92724274767162,0.157424319585473,79.1866666666667,9774
"101","Matt Schaub",2009,0.858592400549481,0.169135634756293,83.6,626,0.835787300453251,0.0909378967451743,75.6714285714286,3706
"102","Ben Roethlisberger",2010,0.857722215938286,0.157539192054994,84.6,546,0.886365529875877,0.120526478223328,77.5866666666667,9818
"103","Drew Brees",2012,0.857300850054283,0.155977890647357,84.7,699,0.972591129618359,0.184613509396664,86.0866666666667,10373
"104","Ryan Fitzpatrick",2018,0.856866861611271,0.163894781964835,83.9,285,0.614895029806461,0.0412568921018732,66.3923076923077,5932
"105","Brock Purdy",2022,0.855467490397021,0.227614461468133,77.7,259,0.98582090928348,0.284024135433189,82.35,927
"106","Derek Carr",2016,0.855405395596953,0.147383226170901,85.3,593,0.762543386571187,0.0519369860631264,73.97,6376
"107","Ben Roethlisberger",2007,0.85433423861747,0.183025802858211,81.8,524,0.886365529875877,0.120526478223328,77.5866666666667,9818
"108","Jared Goff",2018,0.854186938505333,0.156483845815247,84.3,729,0.742783577243079,0.0744966099413695,70.6,5055
"109","Ryan Fitzpatrick",2020,0.853744215256032,0.252992842766231,75.1,299,0.614895029806461,0.0412568921018732,66.3923076923077,5932
"110","Colin Kaepernick",2012,0.851776780150252,0.211655129493883,78.8,354,0.623501105895533,0.0796066730396092,63.28,2541
"111","Ben Roethlisberger",2009,0.851125286931463,0.143392600378559,85.2,567,0.886365529875877,0.120526478223328,77.5866666666667,9818
"112","Dak Prescott",2019,0.850258882214385,0.196172925934862,80.1,639,0.925453073832294,0.145626442334069,80.025,5056
"113","Philip Rivers",2020,0.849941568722968,0.203187110104344,79.4,610,0.92724274767162,0.157424319585473,79.1866666666667,9774
